TCP speed;;;;;;Joint Angles;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0.0837902;-0.188197;-0.0866663;-0.566399;-0.252175;-1.27164e-10;-1.15192;-1.9198;-2.26762;-1.83122;1.57;1.57;
0.168294;-0.377997;-0.171019;-1.1328;-0.50435;-2.54328e-10;-1.15192;-1.9198;-2.26386;-1.82746;1.57;1.57;
0.254197;-0.570941;-0.250718;-1.6992;-0.756525;-3.81492e-10;-1.15192;-1.9198;-2.25762;-1.82122;1.57;1.57;
0.342148;-0.768482;-0.32333;-2.2656;-1.0087;-5.08657e-10;-1.15192;-1.9198;-2.2489;-1.81251;1.57;1.57;
0.432731;-0.971937;-0.386279;-2.83199;-1.26088;-6.35821e-10;-1.15192;-1.9198;-2.23771;-1.80131;1.57;1.57;
0.526449;-1.18243;-0.436811;-3.39839;-1.51305;-7.62985e-10;-1.15192;-1.9198;-2.22403;-1.78763;1.57;1.57;
0.623693;-1.40085;-0.471962;-3.96479;-1.76523;-8.90149e-10;-1.15192;-1.9198;-2.20787;-1.77147;1.57;1.57;
0.724714;-1.62775;-0.48853;-4.53119;-2.0174;-1.01731e-09;-1.15192;-1.9198;-2.18923;-1.75283;1.57;1.57;
0.829591;-1.86331;-0.483072;-5.09759;-2.26958;-1.14448e-09;-1.15192;-1.9198;-2.16811;-1.73171;1.57;1.57;
0.938196;-2.10724;-0.451898;-5.66399;-2.52175;-1.27164e-09;-1.15192;-1.9198;-2.14451;-1.70811;1.57;1.57;
0.967493;-2.17304;-0.360312;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-2.11843;-1.68203;1.57;1.57;
0.982445;-2.20662;-0.259567;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-2.09221;-1.65581;1.57;1.57;
0.995381;-2.23568;-0.15738;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-2.06622;-1.62982;1.57;1.57;
1.01533;-2.28049;0.051891;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-2.01451;-1.57811;1.57;1.57;
1.02231;-2.29616;0.158691;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.98874;-1.55234;1.57;1.57;
1.02726;-2.30728;0.266602;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.96303;-1.52663;1.57;1.57;
1.02726;-2.30728;0.266602;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.96303;-1.52663;1.57;1.57;
1.02726;-2.30728;0.266602;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.96303;-1.52663;1.57;1.57;
1.03099;-2.31567;0.484744;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.91177;-1.47537;1.57;1.57;
1.03099;-2.31567;0.484744;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.91177;-1.47537;1.57;1.57;
1.02976;-2.31289;0.594652;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.88618;-1.44978;1.57;1.57;
1.02643;-2.30542;0.704775;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.86062;-1.42422;1.57;1.57;
1.02102;-2.29327;0.814878;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.83509;-1.39869;1.57;1.57;
1.00394;-2.25489;1.03407;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.7841;-1.3477;1.57;1.57;
0.992272;-2.2287;1.14269;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.75863;-1.32223;1.57;1.57;
0.978543;-2.19786;1.25032;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.73319;-1.29679;1.57;1.57;
0.962766;-2.16243;1.35675;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.70775;-1.27135;1.57;1.57;
0.944964;-2.12244;1.46172;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.68233;-1.24593;1.57;1.57;
0.925161;-2.07796;1.565;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.65693;-1.22053;1.57;1.57;
0.90339;-2.02906;1.66636;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.63153;-1.19513;1.57;1.57;
0.879685;-1.97582;1.76557;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.60615;-1.16975;1.57;1.57;
0.854087;-1.91832;1.8624;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.58077;-1.14437;1.57;1.57;
0.826639;-1.85668;1.95663;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.55541;-1.11901;1.57;1.57;
0.797392;-1.79098;2.04804;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.53005;-1.09365;1.57;1.57;
0.797392;-1.79098;2.04804;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.53005;-1.09365;1.57;1.57;
0.766397;-1.72137;2.13642;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.5047;-1.0683;1.57;1.57;
0.733711;-1.64795;2.22157;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.47936;-1.04296;1.57;1.57;
0.699397;-1.57088;2.30328;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.45402;-1.01762;1.57;1.57;
0.663518;-1.4903;2.38137;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.42869;-0.992291;1.57;1.57;
0.626145;-1.40636;2.45566;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.40337;-0.966968;1.57;1.57;
0.587348;-1.31922;2.52596;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.37805;-0.941651;1.57;1.57;
0.547205;-1.22905;2.59212;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.35274;-0.916339;1.57;1.57;
0.505793;-1.13604;2.65397;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.32743;-0.891032;1.57;1.57;
0.463196;-1.04036;2.71137;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.30213;-0.865729;1.57;1.57;
